timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1568888065155,209,HTTP Request,200,OK,Thread Group 1-1,text,true,,892,312,4,4,https://api.novaposhta.ua/v2.0/json/,208,0,175
1568888065211,158,HTTP Request,200,OK,Thread Group 1-3,text,true,,892,312,4,4,https://api.novaposhta.ua/v2.0/json/,158,0,120
1568888065322,141,HTTP Request,200,OK,Thread Group 1-4,text,true,,892,312,3,3,https://api.novaposhta.ua/v2.0/json/,141,0,112
1568888065492,115,HTTP Request,200,OK,Thread Group 1-6,text,true,,892,312,4,4,https://api.novaposhta.ua/v2.0/json/,115,0,83
1568888065590,140,HTTP Request,200,OK,Thread Group 1-7,text,true,,892,312,4,4,https://api.novaposhta.ua/v2.0/json/,140,0,79
1568888065275,579,HTTP Request,200,OK,Thread Group 1-2,text,true,,892,312,4,4,https://api.novaposhta.ua/v2.0/json/,579,0,159
1568888065407,460,HTTP Request,200,OK,Thread Group 1-5,text,true,,892,312,3,3,https://api.novaposhta.ua/v2.0/json/,460,0,111
1568888065690,193,HTTP Request,200,OK,Thread Group 1-8,text,true,,892,312,2,2,https://api.novaposhta.ua/v2.0/json/,193,0,95
1568888065791,144,HTTP Request,200,OK,Thread Group 1-9,text,true,,892,312,2,2,https://api.novaposhta.ua/v2.0/json/,144,0,103
1568888065891,131,HTTP Request,200,OK,Thread Group 1-10,text,true,,892,312,1,1,https://api.novaposhta.ua/v2.0/json/,131,0,77
